ID STAR;SGidSourceEnt
129923;UBFC_ADUM_ UBFC_86254
126412;UBFC_ADUM_ UBFC_86241
102532;UBFC_ADUM_ UBFC_86239
102508;UBFC_ADUM_ UBFC_86237
118657;UBFC_ADUM_ UBFC_86236
166540;UBFC_ADUM_ UBFC_86231
131410;UBFC_ADUM_ UBFC_86229
137052;UBFC_ADUM_ UBFC_86228
130927;UBFC_ADUM_ UBFC_86226
145316;UBFC_ADUM_ UBFC_86225
135892;UBFC_ADUM_ UBFC_86224
129943;UBFC_ADUM_ UBFC_86223
145817;UBFC_ADUM_ UBFC_86222
135901;UBFC_ADUM_ UBFC_86219
134673;UBFC_ADUM_ UBFC_86218
121318;UBFC_ADUM_ UBFC_86216
147912;UBFC_ADUM_ UBFC_86211
138847;UBFC_ADUM_ UBFC_86210
131181;UBFC_ADUM_ UBFC_86209
105716;UBFC_ADUM_ UBFC_86208
129677;UBFC_ADUM_ UBFC_86207
126698;UBFC_ADUM_ UBFC_86206
113579;UBFC_ADUM_ UBFC_86204
114384;UBFC_ADUM_ UBFC_86203
161069;UBFC_ADUM_ UBFC_86201
128240;UBFC_ADUM_ UBFC_86200
102509;UBFC_ADUM_ UBFC_86199
102517;UBFC_ADUM_ UBFC_86198
107227;UBFC_ADUM_ UBFC_86197
126234;UBFC_ADUM_ UBFC_86182
168868;UBFC_ADUM_ UBFC_86180
130529;UBFC_ADUM_ UBFC_86179
153781;UBFC_ADUM_ UBFC_86178
103185;UBFC_ADUM_ UBFC_86177
130389;UBFC_ADUM_ UBFC_86176
154435;UBFC_ADUM_ UBFC_86175
109168;UBFC_ADUM_ UBFC_86173
146352;UBFC_ADUM_ UBFC_86172
141733;UBFC_ADUM_ UBFC_86150
145442;UBFC_ADUM_ UBFC_86143
145404;UBFC_ADUM_ UBFC_86142
158425;UBFC_ADUM_ UBFC_86141
103654;UBFC_ADUM_ UBFC_86139
145318;UBFC_ADUM_ UBFC_86137
103168;UBFC_ADUM_ UBFC_86136
130576;UBFC_ADUM_ UBFC_86134
130072;UBFC_ADUM_ UBFC_86133
106796;UBFC_ADUM_ UBFC_86132
135903;UBFC_ADUM_ UBFC_86131
102863;UBFC_ADUM_ UBFC_86129
138300;UBFC_ADUM_ UBFC_86082
126410;UBFC_ADUM_ UBFC_86079
171616;UBFC_ADUM_ UBFC_86073
144223;UBFC_ADUM_ UBFC_86064
148331;UBFC_ADUM_ UBFC_86053
137264;UBFC_ADUM_ UBFC_86049
125946;UBFC_ADUM_ UBFC_86048
133583;UBFC_ADUM_ UBFC_86046
171717;UBFC_ADUM_ UBFC_86035
140996;UBFC_ADUM_ UBFC_85960
130634;UBFC_ADUM_ UBFC_85955
139878;UBFC_ADUM_ UBFC_85938
128498;UBFC_ADUM_ UBFC_85937
127958;UBFC_ADUM_ UBFC_85936
106470;UBFC_ADUM_ UBFC_85935
170463;UBFC_ADUM_ UBFC_85903
